cycle_number,draw_number,winner1_name,winner2_name,amount_per_winner,draw_date,savings,paid_out,balance,notes
1,1,Sarah Nakamya,James Ochieng,5000000,2024-01-15,5000000,5000000,0,
1,2,Grace Auma,Peter Mugisha,5000000,2024-02-15,4800000,5000000,-200000,Arrears
1,3,Florence Nambi,David Ssempijja,5000000,2024-03-15,5200000,5000000,200000,
1,4,Agnes Nabirye,Robert Kizza,5000000,2024-04-15,4500000,5000000,-500000,Late payment
1,5,Sarah Nakamya,James Ochieng,5000000,2024-05-15,5500000,5000000,500000,
1,6,Grace Auma,Peter Mugisha,5000000,2024-06-15,5100000,5000000,100000,
1,7,Florence Nambi,David Ssempijja,5000000,2024-07-15,4900000,5000000,-100000,
1,8,Agnes Nabirye,Robert Kizza,5000000,2024-08-15,5300000,5000000,300000,
1,9,Sarah Nakamya,James Ochieng,5000000,2024-09-15,5600000,5000000,600000,
1,10,Grace Auma,Peter Mugisha,5000000,2024-10-15,5400000,5000000,400000,
2,1,Florence Nambi,David Ssempijja,5000000,2024-11-15,6000000,5000000,1000000,
2,2,Agnes Nabirye,Robert Kizza,5000000,2024-12-01,5800000,5000000,800000,
2,3,Sarah Nakamya,James Ochieng,5000000,2024-12-15,6200000,5000000,1200000,
2,4,Grace Auma,Peter Mugisha,5000000,2025-01-15,5900000,5000000,900000,
2,5,Florence Nambi,David Ssempijja,5000000,2025-02-01,6100000,5000000,1100000,
2,6,Agnes Nabirye,Robert Kizza,5000000,2025-02-15,6300000,5000000,1300000,
2,7,Sarah Nakamya,James Ochieng,5000000,2025-03-01,6500000,5000000,1500000,
2,8,Grace Auma,Peter Mugisha,5000000,2025-03-15,6400000,5000000,1400000,
2,9,Florence Nambi,David Ssempijja,5000000,2025-04-01,6600000,5000000,1600000,
2,10,Agnes Nabirye,Robert Kizza,5000000,2025-04-15,6700000,5000000,1700000,
2,11,Sarah Nakamya,James Ochieng,5000000,2025-05-15,6800000,5000000,1800000,
2,12,Grace Auma,Peter Mugisha,5000000,2025-06-01,6900000,5000000,1900000,
2,13,Florence Nambi,David Ssempijja,5000000,2025-06-15,7000000,5000000,2000000,
2,14,Agnes Nabirye,Robert Kizza,5000000,2025-07-15,7100000,5000000,2100000,
2,15,Sarah Nakamya,James Ochieng,5000000,2025-08-15,7200000,5000000,2200000,
3,1,Grace Auma,Peter Mugisha,5000000,2025-09-07,7500000,5000000,2500000,
3,2,Florence Nambi,David Ssempijja,5000000,2025-09-21,7800000,5000000,2800000,
3,3,Agnes Nabirye,Robert Kizza,5000000,2025-10-05,7600000,5000000,2600000,
3,4,Sarah Nakamya,James Ochieng,5000000,2025-10-19,8000000,5000000,3000000,
3,5,Grace Auma,Peter Mugisha,5000000,2025-11-02,8200000,5000000,3200000,
3,6,Florence Nambi,David Ssempijja,5000000,2025-11-16,8400000,5000000,3400000,
3,7,Agnes Nabirye,Robert Kizza,5000000,2025-11-30,8500000,5000000,3500000,
3,8,Sarah Nakamya,James Ochieng,5000000,2025-12-07,8700000,5000000,3700000,
3,9,Grace Auma,Peter Mugisha,5000000,2025-12-21,8800000,5000000,3800000,
3,10,Florence Nambi,David Ssempijja,5000000,2026-01-04,9000000,5000000,4000000,
3,11,Agnes Nabirye,Robert Kizza,5000000,2026-01-18,9100000,5000000,4100000,
3,12,Sarah Nakamya,James Ochieng,5000000,2026-02-01,9300000,5000000,4300000,
3,13,Grace Auma,Peter Mugisha,5000000,2026-02-15,9400000,5000000,4400000,
3,14,Florence Nambi,David Ssempijja,5000000,2026-03-01,9500000,5000000,4500000,
3,15,Agnes Nabirye,Robert Kizza,5000000,2026-03-08,9600000,5000000,4600000,
3,16,Sarah Nakamya,James Ochieng,5000000,2026-03-15,9700000,5000000,4700000,
3,17,Grace Auma,Peter Mugisha,5000000,2026-03-22,9800000,5000000,4800000,
3,18,Florence Nambi,David Ssempijja,5000000,2026-03-29,9900000,5000000,4900000,
3,19,Agnes Nabirye,Robert Kizza,5000000,2026-04-05,10000000,5000000,5000000,
3,20,Sarah Nakamya,James Ochieng,5000000,2026-04-12,10100000,5000000,5100000,
